,budget,release_date,revenue,title,month,year,rating,season,genre_1,profitability
20650,175000000.0,2020-01-01,223343452.0,Dolittle,1,2020,PG,Winter,Comedy,48343452.0
5979,50000000.0,2014-02-26,222809600.0,Non-Stop,2,2014,PG-13,Winter,Action,172809600.0
5504,97600000.0,2019-11-13,220803003.0,Ford v Ferrari,11,2019,PG-13,Holiday,Drama,123203003.0
11291,75000000.0,2016-10-13,220021259.0,Inferno,10,2016,PG-13,Fall,Mystery,145021259.0
550,200000000.0,2011-06-16,219851172.0,Green Lantern,6,2011,PG-13,Summer,Adventure,19851172.0
3462,50000000.0,2013-08-09,219788712.0,Planes,8,2013,PG,Summer,Animation,169788712.0
147,60000000.0,2012-12-20,218340595.0,Jack Reacher,12,2012,PG-13,Holiday,Crime,158340595.0
189,70000000.0,2014-10-01,217124280.0,Dracula Untold,10,2014,PG-13,Fall,Horror,147124280.0
1845,50000000.0,2016-06-15,216972543.0,Central Intelligence,6,2016,PG-13,Summer,Action,166972543.0
16947,50000000.0,2017-07-23,216909830.0,The Emoji Movie,7,2017,PG,Summer,Animation,166909830.0
181,52000000.0,2010-02-10,216485654.0,Valentine's Day,2,2010,PG-13,Winter,Comedy,164485654.0
954,20000000.0,2011-05-16,216197492.0,Bad Teacher,5,2011,R,Summer,Comedy,196197492.0
9974,68000000.0,2015-06-25,215863606.0,Ted 2,6,2015,R,Summer,Comedy,147863606.0
297,150000000.0,2010-07-13,215283742.0,The Sorcerer's Apprentice,7,2010,PG,Summer,Fantasy,65283742.0
2390,80000000.0,2011-02-10,214918407.0,Just Go with It,2,2011,PG-13,Winter,Comedy,134918407.0
20157,50000000.0,2018-11-21,214215889.0,Creed II,11,2018,PG-13,Holiday,Drama,164215889.0
7117,50000000.0,2014-12-24,212902372.0,Into the Woods,12,2014,PG,Holiday,Fantasy,162902372.0
1767,35000000.0,2016-09-14,211952420.0,Bridget Jones's Baby,9,2016,R,Fall,Comedy,176952420.0
10190,68000000.0,2014-10-15,211817906.0,Fury,10,2014,R,Fall,War,143817906.0
765,65000000.0,2010-11-04,211780824.0,Due Date,11,2010,R,Holiday,Comedy,146780824.0
1891,35000000.0,2011-07-08,209600000.0,Horrible Bosses,7,2011,R,Summer,Comedy,174600000.0
5586,190000000.0,2015-05-19,209154322.0,Tomorrowland,5,2015,PG,Summer,Adventure,19154322.0
2662,85000000.0,2012-02-09,208076205.0,Safe House,2,2012,R,Winter,Action,123076205.0
10098,20000000.0,2016-06-01,207945075.0,Me Before You,6,2016,PG-13,Summer,Drama,187945075.0
8294,90000000.0,2014-08-04,206172544.0,The Expendables 3,8,2014,PG-13,Summer,Action,116172544.0
12301,60000000.0,2016-03-02,205754447.0,London Has Fallen,3,2016,R,Spring,Action,145754447.0
4284,5000000.0,2011-10-19,205703818.0,Paranormal Activity 3,10,2011,R,Fall,Horror,200703818.0
8306,150000000.0,2013-06-27,205366737.0,White House Down,6,2013,PG-13,Summer,Action,55366737.0
235,60000000.0,2010-08-12,204594016.0,Eat Pray Love,8,2010,PG-13,Summer,Drama,144594016.0
10220,55000000.0,2015-09-10,203427584.0,Everest,9,2015,PG-13,Fall,Adventure,148427584.0
8560,66000000.0,2014-03-13,203277636.0,Need for Speed,3,2014,PG-13,Spring,Action,137277636.0
710,70000000.0,2011-03-08,202466756.0,Battle: Los Angeles,3,2011,PG-13,Spring,Action,132466756.0
21982,75000000.0,2020-02-05,201858461.0,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2,2020,R,Winter,Action,126858461.0
1422,28000000.0,2015-08-13,201634991.0,Straight Outta Compton,8,2015,R,Summer,Drama,173634991.0
773,42000000.0,2012-03-14,201585328.0,21 Jump Street,3,2012,R,Spring,Action,159585328.0
1026,80000000.0,2010-12-17,201584141.0,Yogi Bear,12,2010,PG,Holiday,Comedy,121584141.0
2834,40000000.0,2019-10-10,200185807.0,The Addams Family,10,2019,PG,Fall,Animation,160185807.0
4895,90000000.0,2013-08-07,199850315.0,Percy Jackson: Sea of Monsters,8,2013,PG,Summer,Adventure,109850315.0
1381,125000000.0,2012-08-02,198802074.0,Total Recall,8,2012,PG-13,Summer,Action,73802074.0
3083,45000000.0,2012-09-09,198087212.0,The Impossible,9,2012,PG-13,Fall,Thriller,153087212.0
1280,195000000.0,2013-02-27,197687603.0,Jack the Giant Slayer,2,2013,PG-13,Winter,Action,2687603.0
8872,60000000.0,2017-03-23,197183546.0,Smurfs: The Lost Village,3,2017,PG,Spring,Adventure,137183546.0
7283,40000000.0,2014-04-16,196781193.0,The Other Woman,4,2014,PG-13,Spring,Comedy,156781193.0
2714,30000000.0,2012-02-05,196114570.0,The Vow,2,2012,PG-13,Winter,Drama,166114570.0
18440,19500000.0,2017-12-01,194989655.0,The Shape of Water,12,2017,R,Holiday,Drama,175489655.0
4010,22000000.0,2017-01-19,194647323.0,A Dog's Purpose,1,2017,PG,Winter,Comedy,172647323.0
8479,35000000.0,2015-09-24,194564672.0,The Intern,9,2015,PG-13,Fall,Comedy,159564672.0
63,55000000.0,2014-09-24,192330738.0,The Equalizer,9,2014,R,Fall,Thriller,137330738.0
20237,20000000.0,2019-09-12,192094429.0,Downton Abbey,9,2019,PG,Fall,Drama,172094429.0
12241,40000000.0,2019-12-25,191540586.0,Little Women,12,2019,PG,Holiday,Drama,151540586.0
13101,100000000.0,2019-01-26,190514361.0,The Lego Movie 2: The Second Part,1,2019,PG,Winter,Action,90514361.0
21,36000000.0,2011-01-13,189712432.0,Gnomeo & Juliet,1,2011,G,Winter,Animation,153712432.0
14,90000000.0,2013-12-18,188133322.0,The Secret Life of Walter Mitty,12,2013,PG,Holiday,Adventure,98133322.0
1415,55000000.0,2011-06-17,187361754.0,Mr. Popper's Penguins,6,2011,PG,Summer,Comedy,132361754.0
5982,20000000.0,2013-10-18,187000000.0,12 Years a Slave,10,2013,R,Fall,Drama,167000000.0
303,170000000.0,2011-11-22,185770160.0,Hugo,11,2011,PG,Holiday,Adventure,15770160.0
16663,45000000.0,2017-12-20,184724494.0,Pitch Perfect 3,12,2017,PG-13,Holiday,Comedy,139724494.0
2808,176000003.0,2015-02-04,183987723.0,Jupiter Ascending,2,2015,PG-13,Winter,Science Fiction,7987720.0
1488,63000000.0,2011-03-30,183953723.0,Hop,3,2011,PG,Spring,Animation,120953723.0
16414,20000000.0,2016-07-28,183936074.0,Bad Moms,7,2016,R,Summer,Comedy,163936074.0
13735,140000000.0,2016-06-01,183345589.0,The BFG,6,2016,PG,Summer,Adventure,43345589.0
3249,85000000.0,2012-03-15,183018522.0,Mirror Mirror,3,2012,PG,Spring,Adventure,98018522.0
18622,69000000.0,2017-11-09,180613180.0,Daddy's Home 2,11,2017,PG-13,Holiday,Comedy,111613180.0
3023,65000000.0,2012-05-15,179379533.0,The Dictator,5,2012,R,Summer,Comedy,114379533.0
12729,110000000.0,2016-03-09,179246868.0,Allegiant,3,2016,PG-13,Spring,Adventure,69246868.0
1749,69000000.0,2017-05-12,177856751.0,Baywatch,5,2017,R,Summer,Action,108856751.0
2438,66000000.0,2011-12-25,177584879.0,War Horse,12,2011,PG-13,Holiday,Drama,111584879.0
2168,3000000.0,2010-10-20,177512032.0,Paranormal Activity 2,10,2010,R,Fall,Horror,174512032.0
397,20000000.0,2011-09-09,177243185.0,The Descendants,9,2011,R,Fall,Comedy,157243185.0
38,110000000.0,2010-06-09,177238796.0,The A-Team,6,2010,PG-13,Summer,Thriller,67238796.0
6731,40000000.0,2016-10-07,175302354.0,Hacksaw Ridge,10,2016,R,Fall,Drama,135302354.0
30,163000000.0,2011-07-29,174822325.0,Cowboys & Aliens,7,2011,PG-13,Summer,Action,11822325.0
7833,30000000.0,2014-02-26,174600318.0,The Grand Budapest Hotel,2,2014,R,Winter,Comedy,144600318.0
20056,50000000.0,2017-01-19,174503458.0,The Post,1,2017,PG-13,Winter,Drama,124503458.0
5978,35000000.0,2013-02-07,173965010.0,Identity Thief,2,2013,R,Winter,Comedy,138965010.0
2954,40000000.0,2011-10-27,173930596.0,In Time,10,2011,PG-13,Fall,Action,133930596.0
757,50000000.0,2013-12-18,173649015.0,Anchorman 2: The Legend Continues,12,2013,PG-13,Holiday,Comedy,123649015.0
11342,37000000.0,2015-11-25,173567581.0,Creed,11,2015,PG-13,Holiday,Drama,136567581.0
382,138000000.0,2019-10-02,173469516.0,Gemini Man,10,2019,PG-13,Fall,Action,35469516.0
13560,45000000.0,2016-10-05,173185859.0,The Girl on the Train,10,2016,R,Fall,Crime,128185859.0
15875,40000000.0,2017-02-08,171539887.0,John Wick: Chapter 2,2,2017,R,Winter,Thriller,131539887.0
22078,50000000.0,2018-12-14,171504407.0,The Mule,12,2018,R,Holiday,Crime,121504407.0
1379,100000000.0,2010-08-06,170432927.0,The Other Guys,8,2010,PG-13,Summer,Action,70432927.0
728,80000000.0,2011-07-06,169852759.0,Zookeeper,7,2011,PG,Summer,Comedy,89852759.0
6569,40000000.0,2014-11-12,169837010.0,Dumb and Dumber To,11,2014,PG-13,Holiday,Comedy,129837010.0
714,110000000.0,2017-03-29,169801921.0,Ghost in the Shell,3,2017,PG-13,Spring,Action,59801921.0
1905,120000000.0,2015-08-05,167977596.0,Fantastic Four,8,2015,PG-13,Summer,Action,47977596.0
90,100000000.0,2010-11-04,167805466.0,Unstoppable,11,2010,PG-13,Holiday,Action,67805466.0
6231,40000000.0,2019-05-22,167323950.0,Rocketman,5,2019,R,Summer,Drama,127323950.0
5291,7000000.0,2012-06-28,167221571.0,Magic Mike,6,2012,R,Summer,Drama,160221571.0
18768,10000000.0,2018-01-03,167184112.0,Insidious: The Last Key,1,2018,PG-13,Winter,Mystery,157184112.0
13690,40000000.0,2015-10-15,165478348.0,Bridge of Spies,10,2015,PG-13,Fall,Thriller,125478348.0
666,45000000.0,2011-11-22,165184237.0,The Muppets,11,2011,PG,Holiday,Comedy,120184237.0
8697,115000000.0,2016-04-06,164989338.0,The Huntsman: Winter's War,4,2016,PG-13,Spring,Action,49989338.0
4538,65000000.0,2014-12-25,163442937.0,Unbroken,12,2014,PG-13,Holiday,Drama,98442937.0
8959,90000000.0,2016-09-14,162360636.0,The Magnificent Seven,9,2016,PG-13,Fall,Adventure,72360636.0
12662,60000000.0,2016-10-19,162146076.0,Jack Reacher: Never Go Back,10,2016,PG-13,Fall,Action,102146076.0
711,27000000.0,2011-03-08,161849455.0,Limitless,3,2011,PG-13,Spring,Thriller,134849455.0
5254,31000000.0,2012-11-02,161772375.0,Flight,11,2012,R,Holiday,Drama,130772375.0
8008,70000000.0,2013-03-20,161025640.0,Olympus Has Fallen,3,2013,R,Spring,Action,91025640.0
6639,50000000.0,2014-08-06,160602194.0,Into the Storm,8,2014,PG-13,Summer,Action,110602194.0
14242,88000000.0,2018-09-05,160542134.0,The Predator,9,2018,R,Fall,Science Fiction,72542134.0
1876,70000000.0,2012-01-19,160112671.0,Underworld: Awakening,1,2012,R,Winter,Fantasy,90112671.0
2939,45000000.0,2011-09-15,160078586.0,Johnny English Reborn,9,2011,PG,Fall,Crime,115078586.0
638,30000000.0,2010-08-04,159291809.0,Step Up 3D,8,2010,PG-13,Summer,Drama,129291809.0
15185,9900000.0,2016-06-08,159047649.0,Don't Breathe,6,2016,R,Summer,Crime,149147649.0
8961,43000000.0,2013-06-27,158674180.0,The Heat,6,2013,R,Summer,Action,115674180.0
2856,47000000.0,2011-08-12,157887643.0,Final Destination 5,8,2011,R,Summer,Horror,110887643.0
18291,20000000.0,2019-09-12,157600000.0,Hustlers,9,2019,R,Fall,Drama,137600000.0
405,80000000.0,2010-01-11,157107755.0,The Book of Eli,1,2010,R,Winter,Action,77107755.0
2639,65000000.0,2012-02-14,156974557.0,This Means War,2,2012,PG-13,Winter,Action,91974557.0
10734,36000000.0,2015-12-19,156844753.0,Ip Man 3,12,2015,PG-13,Holiday,Action,120844753.0
12896,44000000.0,2015-12-25,155760117.0,The Hateful Eight,12,2015,R,Holiday,Crime,111760117.0
19109,9000000.0,2019-01-03,155313078.0,Escape Room,1,2019,PG-13,Winter,Thriller,146313078.0
6892,44000000.0,2016-10-13,155160045.0,The Accountant,10,2016,R,Fall,Crime,111160045.0
17472,80000000.0,2019-05-24,155152550.0,The Secret Life of Pets 2,5,2019,PG,Summer,Adventure,75152550.0
7090,70000000.0,2014-01-24,154984035.0,The Monuments Men,1,2014,PG-13,Winter,War,84984035.0
202,37000000.0,2010-09-15,154026136.0,The Town,9,2010,R,Fall,Crime,117026136.0
1468,25000000.0,2014-01-07,153997819.0,Ride Along,1,2014,PG-13,Winter,Action,128997819.0
8693,50100000.0,2015-02-25,153962963.0,Focus,2,2015,R,Winter,Romance,103862963.0
84,75000000.0,2011-11-02,152930623.0,Tower Heist,11,2011,PG-13,Holiday,Action,77930623.0
940,55000000.0,2010-04-08,152263880.0,Date Night,4,2010,PG-13,Spring,Comedy,97263880.0
11306,15000000.0,2013-10-22,151831537.0,Jackass Presents: Bad Grandpa,10,2013,R,Fall,Comedy,136831537.0
10700,69000000.0,2018-02-28,151572634.0,Red Sparrow,2,2018,R,Winter,Mystery,82572634.0
11046,50000000.0,2014-07-17,151165787.0,Planes: Fire & Rescue,7,2014,PG,Summer,Animation,101165787.0
2704,30000000.0,2011-05-11,151119219.0,Midnight in Paris,5,2011,PG-13,Summer,Fantasy,121119219.0
1202,175000000.0,2013-12-06,150962475.0,47 Ronin,12,2013,PG-13,Holiday,Drama,-24037525.0
8954,140000000.0,2016-02-25,150680864.0,Gods of Egypt,2,2016,PG-13,Winter,Action,10680864.0
2926,35000000.0,2011-07-21,150483765.0,Friends with Benefits,7,2011,R,Summer,Romance,115483765.0
1442,130000000.0,2011-11-17,150406466.0,Happy Feet Two,11,2011,PG,Holiday,Animation,20406466.0
14357,13000000.0,2015-07-17,150000000.0,Bajrangi Bhaijaan,7,2015,PG-13,Summer,Action,137000000.0
1711,50000000.0,2011-02-18,149878437.0,I Am Number Four,2,2011,PG-13,Winter,Action,99878437.0
166,79000000.0,2011-11-11,149673788.0,Jack and Jill,11,2011,PG,Holiday,Comedy,70673788.0
489,40000000.0,2013-12-24,149295601.0,Lone Survivor,12,2013,R,Holiday,Action,109295601.0
5635,175000000.0,2017-05-10,148675066.0,King Arthur: Legend of the Sword,5,2017,PG-13,Summer,Action,-26324934.0
4610,84000000.0,2013-07-18,148100000.0,RED 2,7,2013,PG-13,Summer,Action,64100000.0
1481,25000000.0,2011-01-21,147780440.0,No Strings Attached,1,2011,R,Winter,Comedy,122780440.0
16202,30000000.0,2017-11-22,147568410.0,Darkest Hour,11,2017,PG-13,Holiday,Drama,117568410.0
282,32000000.0,2011-03-30,147332697.0,Source Code,3,2011,PG-13,Spring,Thriller,115332697.0
2815,90000000.0,2015-10-21,146936910.0,The Last Witch Hunter,10,2015,PG-13,Fall,Fantasy,56936910.0
2439,23000000.0,2010-07-16,145570827.0,The Secret World of Arrietty,7,2010,G,Summer,Fantasy,122570827.0
2783,35000000.0,2017-09-28,145374099.0,The Foreigner,9,2017,R,Fall,Action,110374099.0
3582,15000000.0,2012-02-01,145000000.0,Chronicle,2,2012,PG-13,Winter,Science Fiction,130000000.0
10453,65000000.0,2016-08-10,143695338.0,Pete's Dragon,8,2016,PG,Summer,Adventure,78695338.0
2451,50000000.0,2011-07-29,142851197.0,"Crazy, Stupid, Love.",7,2011,PG-13,Summer,Comedy,92851197.0
6669,5000000.0,2012-10-17,142817992.0,Paranormal Activity 4,10,2012,R,Fall,Horror,137817992.0
13842,100000000.0,2017-03-23,142337240.0,Power Rangers,3,2017,PG-13,Spring,Action,42337240.0
2658,56000000.0,2011-12-08,142044638.0,New Year's Eve,12,2011,PG-13,Holiday,Comedy,86044638.0
11700,35000000.0,2015-07-17,140795793.0,Trainwreck,7,2015,R,Summer,Comedy,105795793.0
3529,19000000.0,2016-07-11,140705322.0,Sausage Party,7,2016,R,Summer,Adventure,121705322.0
4491,33000000.0,2012-07-26,140470746.0,Step Up Revolution,7,2012,PG-13,Summer,Music,107470746.0
13314,19000000.0,2017-07-21,140376621.0,Girls Trip,7,2017,R,Summer,Comedy,121376621.0
13950,12000000.0,2016-01-20,140312928.0,Lion,1,2016,PG-13,Winter,Drama,128312928.0
712,80000000.0,2010-07-10,140073390.0,Legend of the Guardians: The Owls of Ga'Hoole,7,2010,PG,Summer,Animation,60073390.0
2657,60000000.0,2011-09-08,137551594.0,Contagion,9,2011,PG-13,Fall,Drama,77551594.0
1490,10000000.0,2011-11-28,136836156.0,The Best Exotic Marigold Hotel,11,2011,PG-13,Holiday,Drama,126836156.0
5341,17000000.0,2014-08-13,136621271.0,Let's Be Cops,8,2014,R,Summer,Comedy,119621271.0
1777,20000000.0,2010-10-21,136150434.0,Saw 3D,10,2010,R,Fall,Horror,116150434.0
408,40000000.0,2010-03-16,136000000.0,The Bounty Hunter,3,2010,PG-13,Spring,Action,96000000.0
670,60000000.0,2014-01-15,135511030.0,Jack Ryan: Shadow Recruit,1,2014,PG-13,Winter,Action,75511030.0
386,70000000.0,2010-09-02,134748021.0,Wall Street: Money Never Sleeps,9,2010,PG-13,Fall,Drama,64748021.0
667,28000000.0,2013-10-31,134402450.0,Last Vegas,10,2013,PG-13,Fall,Comedy,106402450.0
4633,65000000.0,2014-12-19,133821816.0,Annie,12,2014,PG,Holiday,Comedy,68821816.0
13193,50000000.0,2017-08-08,133511855.0,American Made,8,2017,R,Summer,Action,83511855.0
19830,40000000.0,2019-08-21,133365452.0,Angel Has Fallen,8,2019,R,Summer,Action,93365452.0
2640,28000000.0,2015-12-11,133346506.0,The Big Short,12,2015,R,Holiday,Comedy,105346506.0
4412,40000000.0,2012-12-19,132820716.0,Zero Dark Thirty,12,2012,R,Holiday,Thriller,92820716.0
10872,87500000.0,2019-09-17,132807427.0,Ad Astra,9,2019,PG-13,Fall,Science Fiction,45307427.0
2829,103000000.0,2018-03-08,132675864.0,A Wrinkle in Time,3,2018,PG,Spring,Adventure,29675864.0
461,57000000.0,2011-12-11,132563930.0,Ghost Rider: Spirit of Vengeance,12,2011,PG-13,Holiday,Action,75563930.0
911,61000000.0,2013-08-02,131940411.0,2 Guns,8,2013,R,Summer,Action,70940411.0
19571,65000000.0,2019-08-02,131359052.0,The Angry Birds Movie 2,8,2019,PG,Summer,Animation,66359052.0
1435,30000000.0,2011-02-16,130786397.0,Unknown,2,2011,PG-13,Winter,Action,100786397.0
20185,28000000.0,2017-08-04,130560428.0,A Bad Moms Christmas,8,2017,R,Summer,Comedy,102560428.0
1327,102000000.0,2012-10-26,130482868.0,Cloud Atlas,10,2012,R,Fall,Drama,28482868.0
12458,150000000.0,2015-09-24,128388320.0,Pan,9,2015,PG,Fall,Adventure,-21611680.0
1375,50200000.0,2011-03-03,127869379.0,The Adjustment Bureau,3,2011,PG-13,Spring,Science Fiction,77669379.0
1536,40000000.0,2010-07-03,127233108.0,Predators,7,2010,R,Summer,Action,87233108.0
4153,80000000.0,2013-12-18,126546518.0,Walking with Dinosaurs,12,2013,PG,Holiday,Animation,46546518.0
5551,40000000.0,2014-07-17,126069509.0,Sex Tape,7,2014,R,Summer,Comedy,86069509.0
830,32000000.0,2013-06-12,126041322.0,This Is the End,6,2013,R,Summer,Action,94041322.0
6497,38000000.0,2017-06-01,125289450.0,Captain Underpants: The First Epic Movie,6,2017,PG,Summer,Action,87289450.0
22081,1000000.0,2018-12-14,125002821.0,Dragon Ball Super: Broly,12,2018,PG,Holiday,Action,124002821.0
10680,40000000.0,2016-01-14,124827316.0,Ride Along 2,1,2016,PG-13,Winter,Action,84827316.0
1656,25000000.0,2011-08-09,124272124.0,The Help,8,2011,PG-13,Summer,Drama,99272124.0
11042,15000000.0,2014-11-26,123726688.0,The Theory of Everything,11,2014,PG-13,Holiday,Drama,108726688.0
484,40000000.0,2014-05-21,123494610.0,Blended,5,2014,PG-13,Summer,Comedy,83494610.0
1508,25000000.0,2010-03-26,123276807.0,Nanny McPhee and the Big Bang,3,2010,PG,Spring,Comedy,98276807.0
20982,100000000.0,2019-11-06,123114406.0,Midway,11,2019,PG-13,Holiday,War,23114406.0
11151,70000000.0,2017-09-21,123081555.0,The Lego Ninjago Movie,9,2017,PG,Fall,Action,53081555.0
686,50000000.0,2013-10-09,122915111.0,Escape Plan,10,2013,R,Fall,Action,72915111.0
2339,42000000.0,2019-10-09,122801777.0,Zombieland: Double Tap,10,2019,R,Fall,Horror,80801777.0
17957,4800000.0,2017-10-12,122637878.0,Happy Death Day,10,2017,PG-13,Fall,Horror,117837878.0
17017,9000000.0,2019-04-17,122033739.0,The Curse of La Llorona,4,2019,R,Spring,Thriller,113033739.0
4951,110000000.0,2016-09-29,121790373.0,Deepwater Horizon,9,2016,PG-13,Fall,Drama,11790373.0
13666,65000000.0,2015-02-19,121545703.0,Dragon Blade,2,2015,R,Winter,Action,56545703.0
1390,50000000.0,2011-12-08,120081841.0,We Bought a Zoo,12,2011,PG,Holiday,Drama,70081841.0
2592,30000000.0,2018-01-11,119942387.0,The Commuter,1,2018,PG-13,Winter,Action,89942387.0
425,25000000.0,2012-12-25,119772232.0,Parental Guidance,12,2012,PG,Holiday,Comedy,94772232.0
20303,100000000.0,2019-03-14,119559110.0,Wonder Park,3,2019,PG,Spring,Comedy,19559110.0
14850,17000000.0,2016-06-24,119100758.0,The Shallows,6,2016,PG-13,Summer,Horror,102100758.0
14995,10000000.0,2016-06-29,118587880.0,The Purge: Election Year,6,2016,R,Summer,Action,108587880.0
1563,60000000.0,2012-03-12,118338361.0,The Pirates! In an Adventure with Scientists!,3,2012,PG,Spring,Animation,58338361.0
16062,38000000.0,2016-12-22,118034273.0,Why Him?,12,2016,R,Holiday,Comedy,80034273.0
5314,100000000.0,2014-02-18,117831631.0,Pompeii,2,2014,PG-13,Winter,Action,17831631.0
7760,14800000.0,2015-07-01,117813057.0,Magic Mike XXL,7,2015,R,Summer,Comedy,103013057.0
521,20000000.0,2010-10-15,117224271.0,Jackass 3D,10,2010,R,Fall,Comedy,97224271.0
451,38000000.0,2011-03-15,117094902.0,Water for Elephants,3,2011,PG-13,Spring,Drama,79094902.0
2576,35000000.0,2013-01-31,116980662.0,Warm Bodies,1,2013,PG-13,Winter,Horror,81980662.0
21846,49000000.0,2019-08-08,116826172.0,Dora and the Lost City of Gold,8,2019,PG,Summer,Adventure,67826172.0
2750,69000000.0,2012-06-20,116471580.0,Abraham Lincoln: Vampire Hunter,6,2012,R,Summer,Action,47471580.0
1171,25000000.0,2013-08-16,115922175.0,The Butler,8,2013,PG-13,Summer,Drama,90922175.0
612,35000000.0,2010-04-30,115664037.0,A Nightmare on Elm Street,4,2010,R,Spring,Horror,80664037.0
5715,17000000.0,2012-09-28,115400000.0,Pitch Perfect,9,2012,PG-13,Fall,Comedy,98400000.0
22270,22000000.0,2020-01-01,114996853.0,The Gentlemen,1,2020,R,Winter,Action,92996853.0
324,25000000.0,2010-02-04,114977104.0,Dear John,2,2010,PG-13,Winter,Drama,89977104.0
3627,45000000.0,2016-11-25,114501299.0,Office Christmas Party,11,2016,R,Holiday,Comedy,69501299.0
2159,30000000.0,2012-08-07,114281051.0,Hope Springs,8,2012,PG-13,Summer,Drama,84281051.0
525,95000000.0,2014-12-12,114178613.0,Seventh Son,12,2014,PG-13,Holiday,Adventure,19178613.0
3071,60000000.0,2017-08-03,113231078.0,The Dark Tower,8,2017,PG-13,Summer,Action,53231078.0
6886,35000000.0,2013-11-16,112544580.0,Saving Mr. Banks,11,2013,PG-13,Holiday,Comedy,77544580.0
963,85000000.0,2010-07-28,112483764.0,Cats & Dogs: The Revenge of Kitty Galore,7,2010,PG,Summer,Comedy,27483764.0
163,48000000.0,2010-01-14,112462508.0,Tooth Fairy,1,2010,PG,Winter,Comedy,64462508.0
199,21000000.0,2019-04-04,112399944.0,Pet Sematary,4,2019,R,Spring,Thriller,91399944.0
985,38000000.0,2016-01-21,112343513.0,How to Be Single,1,2016,R,Winter,Comedy,74343513.0
11025,9000000.0,2014-07-17,111928365.0,The Purge: Anarchy,7,2014,R,Summer,Horror,102928365.0
9707,40000000.0,2015-03-26,111811453.0,Get Hard,3,2015,R,Spring,Comedy,71811453.0
20108,75000000.0,2019-09-19,111615070.0,Abominable,9,2019,PG,Fall,Animation,36615070.0
682,50000000.0,2011-09-22,110206216.0,Moneyball,9,2011,PG-13,Fall,Drama,60206216.0
2837,55000000.0,2013-10-30,110000000.0,Free Birds,10,2013,PG,Fall,Animation,55000000.0
8029,38000000.0,2016-01-14,109906372.0,The 5th Wave,1,2016,PG-13,Winter,Adventure,71906372.0
15906,35000000.0,2016-05-04,108758521.0,Neighbors 2: Sorority Rising,5,2016,R,Summer,Comedy,73758521.0
616,15000000.0,2016-03-10,108286421.0,10 Cloverfield Lane,3,2016,PG-13,Spring,Thriller,93286421.0
143,60000000.0,2014-09-10,108255770.0,The Boxtrolls,9,2014,PG,Fall,Animation,48255770.0
2964,75000000.0,2015-08-13,108145109.0,The Man from U.N.C.L.E.,8,2015,PG-13,Summer,Comedy,33145109.0
7031,42000000.0,2014-11-26,107670357.0,Horrible Bosses 2,11,2014,R,Holiday,Comedy,65670357.0
21786,109000000.0,2020-02-19,107604626.0,The Call of the Wild,2,2020,PG,Winter,Drama,-1395374.0
12858,38000000.0,2015-04-16,107597242.0,Paul Blart: Mall Cop 2,4,2015,PG,Spring,Action,69597242.0
2860,60000000.0,2012-08-03,107139399.0,ParaNorman,8,2012,PG,Summer,Family,47139399.0
10694,25000000.0,2015-02-05,106209378.0,Shaun the Sheep Movie,2,2015,PG,Winter,Family,81209378.0
439,38000000.0,2010-10-02,105610124.0,Life As We Know It,10,2010,PG-13,Fall,Comedy,67610124.0
1118,60000000.0,2013-01-10,105200903.0,Gangster Squad,1,2013,R,Winter,Crime,45200903.0
689,50000000.0,2010-10-22,105197635.0,Hereafter,10,2010,PG-13,Fall,Drama,55197635.0
4852,30000000.0,2015-12-18,105011053.0,Sisters,12,2015,R,Holiday,Comedy,75011053.0
4413,95000000.0,2012-08-09,104907746.0,The Campaign,8,2012,R,Summer,Comedy,9907746.0
2079,31000000.0,2015-07-28,104384188.0,Vacation,7,2015,R,Summer,Comedy,73384188.0
11850,10000000.0,2015-06-04,104303851.0,Insidious: Chapter 3,6,2015,PG-13,Summer,Drama,94303851.0
668,5000000.0,2014-10-24,103590271.0,Ouija,10,2014,PG-13,Fall,Horror,98590271.0
9708,18000000.0,2014-08-27,103215094.0,Birdman or (The Unexpected Virtue of Ignorance),8,2014,R,Summer,Drama,85215094.0
21261,200000000.0,2020-02-29,103181419.0,Onward,2,2020,PG,Winter,Animation,-96818581.0
12518,10000000.0,2017-10-26,102952888.0,Jigsaw,10,2017,R,Fall,Crime,92952888.0
121,30000000.0,2010-11-22,102820008.0,Love & Other Drugs,11,2010,R,Holiday,Drama,72820008.0
14049,62000000.0,2018-07-19,102084362.0,The Equalizer 2,7,2018,R,Summer,Thriller,40084362.0
2353,1000000.0,2012-01-06,101758490.0,The Devil Inside,1,2012,R,Winter,Thriller,100758490.0
5367,12000000.0,2014-04-16,101332962.0,Heaven is for Real,4,2014,PG,Spring,Drama,89332962.0
9184,60000000.0,2015-12-24,101134059.0,Joy,12,2015,PG-13,Holiday,Drama,41134059.0
3509,28000000.0,2014-10-08,100654149.0,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10,2014,PG,Fall,Family,72654149.0
697,70000000.0,2018-10-11,100546153.0,First Man,10,2018,PG-13,Fall,History,30546153.0
18168,58000000.0,2017-03-22,100541806.0,Life,3,2017,R,Spring,Horror,42541806.0
6621,20000000.0,2014-07-02,100525432.0,Tammy,7,2014,R,Summer,Comedy,80525432.0
17728,80000000.0,2018-06-28,100176000.0,Hotel Transylvania 3: Summer Vacation,6,2018,PG,Summer,Family,20176000.0
